symb,xymd,open,high,low,clos,diff,rate,gvol
NAS@SOX,20220712,2583.22,2588.38,2542.54,2558.17,4.48,0.18,0
NAS@SOX,20220711,2575.74,2588.02,2538.98,2553.69,-64.33,-2.46,0
NAS@SOX,20220708,2567.18,2632.34,2561.28,2618.02,12.14,0.47,0
NAS@SOX,20220707,2560.2,2616.44,2555.38,2605.88,111.77,4.48,0
NAS@SOX,20220706,2477.32,2520.83,2456.23,2494.11,16.47,0.66,0
NAS@SOX,20220705,2391.81,2478.26,2386.67,2477.64,19.18,0.78,0
NAS@SOX,20220701,2512.1,2524.03,2429.9,2458.46,-97.79,-3.83,0
NAS@SOX,20220630,2548.64,2602.55,2514.42,2556.25,-27.73,-1.07,0
NAS@SOX,20220629,2604.98,2610.68,2553.53,2583.98,-58.09,-2.2,0
NAS@SOX,20220628,2724.48,2758.52,2640.8,2642.07,-71.4,-2.63,0
NAS@SOX,20220627,2745.76,2749.66,2692.78,2713.47,-5.0,-0.18,0
NAS@SOX,20220624,2639.77,2719.53,2639.44,2718.47,115.73,4.45,0
NAS@SOX,20220623,2633.01,2636.82,2563.68,2602.74,-16.97,-0.65,0
NAS@SOX,20220622,2603.6,2658.76,2602.9,2619.71,-29.66,-1.12,0
NAS@SOX,20220621,2638.47,2685.01,2633.56,2649.37,70.83,2.75,0
NAS@SOX,20220617,2581.72,2598.56,2523.2,2578.54,11.68,0.46,0
NAS@SOX,20220616,2648.23,2655.08,2537.69,2566.86,-170.68,-6.23,0
NAS@SOX,20220615,2726.07,2780.64,2674.02,2737.54,47.65,1.77,0
NAS@SOX,20220614,2707.27,2713.5,2658.4,2689.89,16.89,0.63,0
NAS@SOX,20220613,2742.15,2765.43,2665.64,2673.0,-158.98,-5.61,0
NAS@SOX,20220610,2894.71,2911.76,2828.46,2831.98,-105.81,-3.6,0
NAS@SOX,20220609,2995.78,3047.72,2937.4,2937.79,-81.31,-2.69,0
NAS@SOX,20220608,3069.76,3082.38,3000.46,3019.1,-73.87,-2.39,0
NAS@SOX,20220607,3025.92,3098.75,3007.96,3092.97,30.24,0.99,0
NAS@SOX,20220606,3121.94,3132.42,3047.18,3062.73,0.14,0.0,0
NAS@SOX,20220603,3080.54,3103.36,3047.9,3062.59,-95.39,-3.02,0
NAS@SOX,20220602,3041.98,3158.62,3036.98,3157.98,108.95,3.57,0
NAS@SOX,20220601,3117.3,3130.1,3011.18,3049.03,-49.66,-1.6,0
NAS@SOX,20220531,3110.09,3126.86,3052.66,3098.69,-16.66,-0.53,0
NAS@SOX,20220527,3048.11,3120.89,3046.7,3115.35,120.74,4.03,0
NAS@SOX,20220526,2849.97,3006.23,2848.49,2994.61,111.68,3.87,0
NAS@SOX,20220525,2812.06,2905.94,2809.74,2882.93,55.88,1.98,0
NAS@SOX,20220524,2853.71,2863.51,2797.9,2827.05,-71.38,-2.46,0
NAS@SOX,20220523,2861.34,2904.17,2844.09,2898.43,15.78,0.55,0
NAS@SOX,20220520,2937.7,2939.47,2758.75,2882.65,-7.68,-0.27,0
NAS@SOX,20220519,2901.05,2960.13,2867.13,2890.33,-17.63,-0.61,0
NAS@SOX,20220518,3012.02,3054.81,2897.94,2907.96,-158.54,-5.17,0
NAS@SOX,20220517,3007.48,3071.56,2990.31,3066.5,146.44,5.01,0
NAS@SOX,20220516,2929.86,2967.77,2912.24,2920.06,-50.31,-1.69,0
NAS@SOX,20220513,2880.0,2988.33,2863.41,2970.37,143.16,5.06,0
NAS@SOX,20220512,2781.84,2851.75,2754.7,2827.21,15.27,0.54,0
NAS@SOX,20220511,2872.9,2937.39,2806.99,2811.94,-88.19,-3.04,0
NAS@SOX,20220510,2918.6,2948.64,2834.86,2900.13,71.03,2.51,0
NAS@SOX,20220509,2918.42,2949.92,2817.21,2829.1,-152.96,-5.13,0
NAS@SOX,20220506,2990.46,3044.82,2926.09,2982.06,-23.47,-0.78,0
NAS@SOX,20220505,3103.59,3105.5,2965.73,3005.53,-158.25,-5.0,0
NAS@SOX,20220504,3071.17,3166.7,2974.71,3163.78,118.89,3.9,0
NAS@SOX,20220503,3012.21,3067.41,2994.95,3044.89,22.65,0.75,0
NAS@SOX,20220502,2935.96,3024.79,2905.44,3022.24,102.5,3.51,0
NAS@SOX,20220429,3006.49,3065.72,2916.12,2919.74,-136.62,-4.47,0
NAS@SOX,20220428,2968.45,3087.03,2919.5,3056.36,161.45,5.58,0
NAS@SOX,20220427,2879.76,2964.46,2875.37,2894.91,-14.21,-0.49,0
NAS@SOX,20220426,3006.91,3006.91,2908.13,2909.12,-133.27,-4.38,0
NAS@SOX,20220425,2964.6,3045.68,2964.57,3042.39,52.56,1.76,0
NAS@SOX,20220422,3054.62,3069.52,2988.42,2989.83,-68.91,-2.25,0
NAS@SOX,20220421,3185.82,3216.79,3046.69,3058.74,-83.46,-2.66,0
NAS@SOX,20220420,3205.67,3227.18,3135.45,3142.2,-11.03,-0.35,0
NAS@SOX,20220419,3073.32,3157.52,3057.43,3153.23,68.04,2.21,0
NAS@SOX,20220418,3017.96,3110.03,3017.96,3085.19,56.97,1.88,0
NAS@SOX,20220414,3131.42,3132.61,3026.77,3028.22,-91.1,-2.92,0
NAS@SOX,20220413,3065.25,3136.64,3053.64,3119.32,71.85,2.36,0
NAS@SOX,20220412,3124.32,3145.75,3035.94,3047.47,-7.62,-0.25,0
NAS@SOX,20220411,3067.98,3099.42,3052.14,3055.09,-65.07,-2.09,0
NAS@SOX,20220408,3164.94,3173.53,3116.67,3120.16,-77.28,-2.42,0
NAS@SOX,20220407,3188.9,3226.79,3134.37,3197.44,3.48,0.11,0
NAS@SOX,20220406,3197.99,3246.88,3164.99,3193.96,-75.86,-2.32,0
NAS@SOX,20220405,3396.45,3400.59,3264.38,3269.82,-155.13,-4.53,0
NAS@SOX,20220404,3380.61,3428.66,3368.35,3424.95,58.31,1.73,0
NAS@SOX,20220401,3454.07,3455.8,3317.88,3366.64,-62.36,-1.82,0
NAS@SOX,20220331,3503.74,3523.7,3427.47,3429.0,-79.62,-2.27,0
NAS@SOX,20220330,3605.26,3611.2,3493.69,3508.62,-116.96,-3.23,0
NAS@SOX,20220329,3601.37,3633.14,3557.66,3625.58,78.41,2.21,0
NAS@SOX,20220328,3501.79,3548.54,3450.94,3547.17,21.83,0.62,0
